study_hours,attendance,sleep_hours,result
2.9,59.14,6.84,0
8.07,90.69,8.01,1
9.14,41.4,5.03,1
2.85,88.87,5.15,0
8.74,56.91,4.25,1
4.41,47.09,5.01,0
7.59,81.8,5.67,1
7.6,77.74,5.06,1
6.43,92.65,4.53,1
1.08,84.1,4.72,0
10.02,88.21,6.76,1
3.85,56.92,5.24,0
2.24,50.65,6.19,0
0.49,85.04,7.02,1
7.09,88.41,8.14,1
8.13,99.43,4.24,1
0.2,64.76,8.8,0
6.15,62.32,7.77,1
2.72,86.58,4.49,0
7.74,60.45,9.24,1
2.09,95.85,9.53,1
8.29,91.5,4.37,1
4.64,65.74,5.66,1
11.24,85.05,8.84,1
1.65,85.27,8.49,0
4.09,46.19,5.11,0
1.36,94.15,5.26,0
11.1,70.32,6.22,1
10.53,89.59,6.91,1
3.1,59.2,7.71,0
7.92,93.73,6.21,1
9.81,63.35,6.78,1
6.66,40.65,8.48,1
6.36,94.32,4.22,1
2.9,45.48,5.51,0
1.12,59.16,8.28,0
10.77,97.0,9.37,1
10.81,97.04,7.07,1
7.6,74.41,7.19,1
4.07,77.91,4.64,1
4.19,66.91,6.68,0
8.71,57.59,7.2,1
10.77,59.72,5.45,1
10.65,80.35,5.62,1
9.36,85.14,6.26,1
7.7,87.49,4.12,1
1.01,87.38,5.93,0
1.94,45.47,5.27,0
10.78,69.67,5.96,1
7.28,43.45,4.72,0
0.11,72.97,9.34,1
1.22,66.49,7.56,0
7.96,93.26,8.07,1
0.06,61.05,8.74,0
1.93,47.02,6.99,0
6.58,48.58,4.52,1
8.3,85.69,7.22,1
7.82,77.09,7.52,1
2.69,46.07,8.47,0
8.55,45.05,6.59,1
2.85,82.06,4.77,0
3.9,44.37,5.7,0
8.96,89.31,6.18,1
7.8,82.37,7.88,1
10.19,44.88,7.42,1
