area,bedrooms,age,price
1096.15,3,11,111827.73257758922
516.57,2,8,59177.2119081378
2946.38,2,6,180354.6358386883
2620.57,2,27,156993.34820022722
2687.02,1,13,142674.78838790313
2813.81,1,30,142922.25347326408
722.13,1,18,50000.0
1575.4,3,46,125593.62566458195
847.61,5,15,135056.81775985865
3089.31,2,4,188966.87246003706
2369.89,2,34,142564.3995536711
1492.69,3,11,128572.85975154585
690.68,2,24,61429.15200233388
1432.95,1,20,84718.33350021712
1475.55,5,35,160065.03855023652
2688.82,4,22,200788.49426194737
2412.67,2,15,150254.4087967766
3161.64,1,38,157706.7415142418
1916.64,4,44,142322.39417632206
858.78,5,41,114863.04468900723
2639.73,4,38,199820.87133722263
2782.36,1,13,160842.8385675064
2183.83,4,30,172946.31980221812
2812.9,3,4,201527.78481527884
1981.39,4,34,163625.75077271767
2068.2,2,22,147804.40404227618
1782.62,2,28,120728.87455717288
576.26,3,42,67173.41204259617
823.67,1,10,51405.79779699787
594.29,2,17,53182.268398712135
2409.23,5,46,198478.81817933611
1443.07,2,11,102871.74627357848
2025.71,2,8,130174.23145201163
3222.7,1,9,173402.13557878736
1247.88,4,43,115486.25998192803
1731.15,2,16,126993.20817536283
2766.65,3,37,184240.69878474725
1186.39,4,6,136279.63679341692
730.94,5,45,121446.72069445012
1369.25,1,12,82849.34153823809
983.66,5,39,125376.57899335868
3289.09,4,41,231570.12038634828
2924.36,4,8,224912.5502184233
2400.21,4,49,170324.26922836772
3114.38,5,26,241767.30660958195
2911.02,4,1,220672.9087330762
1059.71,5,4,144071.50134517832
3177.68,4,28,229514.8877376582
2118.03,3,36,157448.58320235065
2922.32,4,37,200623.1621309043
3188.27,5,18,253228.34618345284
1454.01,2,7,105947.28715439087
830.16,4,47,95572.37308117651
1183.81,2,44,74228.53037880565
1781.32,3,0,144746.04615160092
2954.04,1,21,157444.60813972412
3082.19,3,16,201954.7494179448
520.86,4,6,104395.28412889919
2032.24,2,24,129360.80945275431
1752.23,2,44,104416.75976566796
1166.32,5,3,152278.18168979202
859.6,2,35,62596.14334715834
1512.85,5,5,176919.45612912878
3328.73,1,30,173941.0859381219
1469.61,4,18,139592.72377600725
2056.37,5,43,181815.16152714612
2609.06,1,38,135209.93561685894
1590.89,2,26,98197.47359439314
3415.35,2,9,208984.3009618997
3387.34,1,25,173553.88120527077
1255.35,2,18,96620.4933429658
1991.75,1,38,96771.20421728742
1402.63,5,2,160107.0894966774
1354.52,5,44,137588.28781058418
610.66,1,12,50000.0
2328.69,5,49,193233.11250860742
2008.04,5,27,182380.41687447796
654.44,5,19,126414.96229388687
1335.94,3,27,104989.3996886552
3224.8,4,7,237409.6010067634
1218.69,2,40,74879.41900118772
934.68,3,38,84474.81946098921
1968.36,5,0,198654.99335658207
3456.95,1,2,187545.43317358024
1226.17,5,12,153385.72227885088
2516.41,4,27,197351.96404607221
2784.86,5,48,212358.54065238425
1212.91,1,24,72823.96056032571
2684.65,4,32,192583.9657267119
1603.35,5,37,164316.5208895764
2396.92,4,5,204553.8431032895
2400.59,2,43,126171.27749936355
2107.32,2,44,119381.52372264762
770.87,5,31,125928.8606359027
3005.91,4,44,207280.27306978503
1462.34,1,46,71972.72936685654
1059.56,5,20,139958.0740664209
622.33,2,15,64049.4489373645
2272.68,2,20,142855.6138230396
2532.69,5,10,227473.41030829903
549.76,4,36,90760.10421650606
2036.28,2,35,126002.01331037602
1179.49,4,34,119915.11516938766
2435.52,2,18,150337.96887963754
1023.1,2,19,79492.20906090189
2572.81,3,17,182112.7607118915
1660.21,2,46,97905.57759589868
3310.19,1,40,166958.37428448207
912.56,5,48,132005.0039932272
1523.2,5,13,174015.62351715847
840.42,4,14,113390.88233916079
3274.08,2,30,194710.06961081972
3132.02,1,0,174560.62313489223
1273.82,4,2,132500.37732411074
2479.95,3,15,171457.06844541297
2951.67,4,22,207229.5403948707
2165.6,4,10,181522.43257979344
2088.95,2,11,139039.59189594776
1225.56,3,9,125160.18656137641
779.31,4,31,105100.13686882082
3191.65,1,15,170986.99735595568
3201.25,1,7,180709.52790591744
2399.3,5,37,190409.32345496057
1517.09,3,11,131532.57279054282
1547.63,3,23,129735.82596943484
2677.87,5,27,213000.56877110078
3191.33,4,7,241785.27021603464
3161.26,3,27,206255.48203747207
2839.63,1,35,142405.060430496
